Date,Close,pe,dividend yield,return,payout,future_crash
02-Apr-19,9720.8,31.39,1.07,-0.3170881,33.59,1
03-Apr-19,9658.4,31.19,1.08,-0.2598153,33.69,1
04-Apr-19,9626.65,31.09,1.08,-0.2560808,33.58,1
05-Apr-19,9684.95,31.28,1.08,-0.2316274,33.78,1
08-Apr-19,9634.4,31.12,1.08,-0.2360344,33.61,1
09-Apr-19,9677.75,31.26,1.08,-0.2411098,33.76,1
10-Apr-19,9622.95,31.08,1.08,-0.2297269,33.57,1
11-Apr-19,9634.55,31.12,1.08,-0.2096777,33.61,1
12-Apr-19,9674.6,31.25,1.08,-0.2129287,33.75,1
15-Apr-19,9716.5,31.39,1.07,-0.238836,33.59,1
16-Apr-19,9781.4,31.6,1.07,-0.2297831,33.81,1
18-Apr-19,9738.7,31.46,1.07,-0.2170105,33.66,1
22-Apr-19,9599.8,31.02,1.09,-0.219416,33.81,1
23-Apr-19,9587.3,31.01,1.09,-0.2068726,33.8,1
24-Apr-19,9687.55,31.29,1.07,-0.2080092,33.48,1
25-Apr-19,9628.8,31.1,1.08,-0.190221,33.59,0
26-Apr-19,9689.7,31.3,1.07,-0.1730497,33.49,1
30-Apr-19,9664.3,31.22,1.08,-0.2139213,33.72,1
02-May-19,9637.5,30.97,1.08,-0.2193982,33.45,1
03-May-19,9624.55,30.92,1.08,-0.2128983,33.39,1
06-May-19,9532.45,30.63,1.09,-0.2110265,33.39,1
07-May-19,9450.8,30.39,1.1,-0.2009142,33.43,1
08-May-19,9340.25,30.01,1.11,-0.1909853,33.31,1
09-May-19,9299.75,29.88,1.12,-0.1912793,33.47,1
10-May-19,9290.2,29.77,1.12,-0.1747217,33.34,1
13-May-19,9159.95,29.3,1.14,-0.1796298,33.4,1
14-May-19,9212.35,29.57,1.13,-0.1854359,33.41,1
15-May-19,9160.1,29.4,1.14,-0.2090425,33.52,1
16-May-19,9221.65,29.58,1.13,-0.2100654,33.43,1
17-May-19,9329.7,29.92,1.11,-0.2039562,33.21,1
20-May-19,9671.9,30.99,1.08,-0.2275975,33.47,1
21-May-19,9578.85,30.6,1.09,-0.2257943,33.35,1
22-May-19,9598.2,30.61,1.08,-0.2264695,33.06,1
23-May-19,9552.75,30.37,1.09,-0.2048834,33.1,1
24-May-19,9722.05,30.94,1.07,-0.2046688,33.11,1
27-May-19,9804.9,31.2,1.14,-0.2021948,35.57,1
28-May-19,9815.5,31.25,1.14,-0.1829148,35.63,1
29-May-19,9757.15,31.09,1.15,-0.1660013,35.75,0
30-May-19,9815.3,31.26,1.14,-0.164264,35.64,0
31-May-19,9805.05,31.64,1.14,-0.1651343,36.07,0
03-Jun-19,9922.6,32.02,1.13,-0.1635912,36.18,0
04-Jun-19,9876.2,31.87,1.13,-0.1571708,36.01,0
06-Jun-19,9722.5,31.38,1.15,-0.1526768,36.09,0
07-Jun-19,9735.85,31.42,1.15,-0.1481637,36.13,0
10-Jun-19,9765.85,31.53,1.15,-0.1667904,36.26,0
11-Jun-19,9805.1,31.66,1.14,-0.1640677,36.09,1
12-Jun-19,9749.95,31.48,1.15,-0.1706163,36.2,0
13-Jun-19,9747.05,31.47,1.15,-0.1636136,36.19,0
14-Jun-19,9669.95,31.22,1.16,-0.1581704,36.22,0
17-Jun-19,9543.6,30.81,1.18,-0.1320204,36.36,0
18-Jun-19,9551.35,30.84,1.18,-0.1201872,36.39,0
19-Jun-19,9526.2,30.76,1.18,-0.1091464,36.3,0
20-Jun-19,9646.0,31.14,1.17,-0.1062513,36.43,0
21-Jun-19,9581.6,30.93,1.17,-0.1132744,36.19,0
24-Jun-19,9564.1,30.88,1.18,-0.1112703,36.44,0
25-Jun-19,9632.85,31.1,1.17,-0.1114779,36.39,0
26-Jun-19,9682.8,31.09,1.16,-0.1233889,36.06,0
27-Jun-19,9692.35,31.13,1.16,-0.1256197,36.11,0
28-Jun-19,9657.95,30.96,1.17,-0.1142271,36.22,0
01-Jul-19,9713.0,31.14,1.17,-0.1096623,36.43,0
02-Jul-19,9744.85,31.24,1.16,-0.1076056,36.24,0
03-Jul-19,9757.3,31.28,1.16,-0.0965021,36.28,0
04-Jul-19,9776.8,31.34,1.16,-0.0947652,36.35,0
05-Jul-19,9657.65,30.96,1.17,-0.0903584,36.22,0
08-Jul-19,9447.8,30.29,1.2,-0.0631152,36.35,0
09-Jul-19,9455.65,30.27,1.2,-0.0678642,36.32,0
10-Jul-19,9400.1,30.03,1.21,-0.0602015,36.34,0
11-Jul-19,9466.4,30.24,1.2,-0.0816625,36.29,0
12-Jul-19,9457.75,30.21,1.23,-0.0811927,37.16,0
15-Jul-19,9469.15,30.17,1.23,-0.0741936,37.11,0
16-Jul-19,9529.85,30.37,1.22,-0.0665855,37.05,0
17-Jul-19,9543.35,30.42,1.22,-0.0584962,37.11,0
18-Jul-19,9456.15,30.14,1.23,-0.0407724,37.07,0
19-Jul-19,9304.65,29.65,1.25,-0.0277334,37.06,0
22-Jul-19,9247.75,29.48,1.25,-0.0144576,36.85,0
23-Jul-19,9233.55,29.43,1.26,-0.0159852,37.08,0
24-Jul-19,9160.45,29.39,1.27,-0.0147973,37.33,0
25-Jul-19,9159.15,29.34,1.27,-0.0018997,37.26,0
26-Jul-19,9192.6,29.52,1.26,-0.0104976,37.2,0
29-Jul-19,9108.9,29.53,1.27,-0.0084752,37.5,0
30-Jul-19,9004.05,29.2,1.29,0.00352064,37.67,0
31-Jul-19,9044.95,29.25,1.29,-0.0124821,37.73,0
01-Aug-19,8935.75,28.89,1.3,0.01557788,37.56,0
02-Aug-19,8943.95,28.91,1.3,0.01618971,37.58,0
05-Aug-19,8831.95,28.56,1.32,0.0381739,37.7,0
06-Aug-19,8918.6,28.84,1.31,0.03140067,37.78,0
07-Aug-19,8854.65,28.58,1.31,0.0467438,37.44,0
08-Aug-19,8979.65,29.07,1.3,0.03467284,37.79,0
09-Aug-19,9046.55,29.28,1.29,0.02633601,37.77,0
13-Aug-19,8890.1,28.85,1.31,0.04699047,37.79,0
14-Aug-19,8971.1,29.09,1.3,0.02712042,37.82,0
16-Aug-19,8988.8,29.21,1.3,0.03104975,37.97,0
19-Aug-19,8997.95,29.26,1.29,0.0426875,37.75,0
20-Aug-19,8957.4,29.14,1.3,0.05081274,37.88,0
21-Aug-19,8864.5,28.83,1.31,0.0568842,37.77,0
22-Aug-19,8719.25,28.36,1.34,0.0807753,38.0,0
23-Aug-19,8790.55,28.59,1.32,0.08051828,37.74,0
26-Aug-19,8964.7,29.16,1.3,0.06074381,37.91,0
27-Aug-19,9022.25,29.35,1.29,0.06039513,37.86,0
28-Aug-19,8970.9,29.17,1.3,0.06797534,37.92,0
29-Aug-19,8906.1,28.96,1.31,0.08252209,37.94,0
30-Aug-19,8977.55,29.19,1.33,0.04394295,38.82,0
03-Sep-19,8802.35,28.51,1.35,0.0726965,38.49,0
04-Sep-19,8833.1,28.55,1.35,0.07758318,38.54,0
05-Sep-19,8846.3,28.57,1.35,0.07781219,38.57,0
06-Sep-19,8920.4,28.81,1.34,0.05129254,38.61,0
09-Sep-19,8972.4,28.97,1.33,0.04532789,38.53,0
11-Sep-19,9015.15,29.08,1.32,0.03490791,38.39,0
12-Sep-19,8981.6,28.98,1.33,0.03435913,38.54,0
13-Sep-19,9050.85,29.18,1.32,0.04081385,38.52,0
16-Sep-19,9009.15,29.04,1.32,0.04853399,38.33,0
17-Sep-19,8853.9,28.55,1.35,0.07221676,38.54,0
18-Sep-19,8877.7,28.63,1.34,0.07835926,38.36,0
19-Sep-19,8766.45,28.27,1.36,0.09879141,38.45,0
20-Sep-19,9230.5,29.76,1.29,0.03642815,38.39,0
23-Sep-19,9486.6,30.59,1.26,0.00768452,38.54,0
24-Sep-19,9474.75,30.48,1.26,-0.0170717,38.4,0
25-Sep-19,9344.15,27.72,1.28,-0.0139392,35.48,0
26-Sep-19,9443.8,28.02,1.26,-0.0264142,35.31,0
27-Sep-19,9395.6,28.39,1.26,-0.0479852,35.77,0
30-Sep-19,9340.9,28.22,1.27,-0.019784,35.84,0
01-Oct-19,9236.4,27.91,1.29,0.01016089,36.0,0
03-Oct-19,9198.4,27.79,1.29,0.01318708,35.85,0
04-Oct-19,9091.65,27.47,1.31,0.02750876,35.99,0
07-Oct-19,9040.65,27.32,1.31,0.04657298,35.79,0
09-Oct-19,9177.95,27.78,1.29,0.03686553,35.84,0
10-Oct-19,9112.75,27.58,1.3,0.05592165,35.85,0
11-Oct-19,9161.4,27.73,1.29,0.05382365,35.77,0
14-Oct-19,9192.65,27.82,1.29,0.05647447,35.89,0
15-Oct-19,9253.85,28.01,1.28,0.05363173,35.85,0
16-Oct-19,9281.85,28.09,1.28,0.04993617,35.96,0
17-Oct-19,9391.0,28.42,1.26,0.03678522,35.81,0
18-Oct-19,9479.2,28.69,1.25,0.02998143,35.86,0
22-Oct-19,9448.25,28.55,1.25,0.01077448,35.69,0
23-Oct-19,9458.65,28.58,1.25,0.01771923,35.73,0
24-Oct-19,9437.65,28.52,1.25,0.02878365,35.65,0
25-Oct-19,9431.1,28.5,1.26,0.03201111,35.91,0
27-Oct-19,9478.35,28.64,1.25,0.02935638,35.8,0
29-Oct-19,9598.35,29.01,1.23,0.01528388,35.68,0
30-Oct-19,9647.55,29.15,1.23,0.01376515,35.85,0
31-Oct-19,9689.65,29.28,1.22,-0.0043345,35.72,0
01-Nov-19,9704.0,29.38,1.22,0.00456513,35.84,0
04-Nov-19,9732.4,29.46,1.22,-0.0102801,35.94,0
05-Nov-19,9694.05,29.49,1.22,-0.0103827,35.98,0
06-Nov-19,9721.35,29.57,1.22,-0.0143704,36.08,0
07-Nov-19,9764.3,29.69,1.21,-0.0172414,35.92,0
08-Nov-19,9683.3,29.44,1.22,0.00134252,35.92,0
